sample_id,a,b,case,torsion_order,torsion_invariants,generators
sample_000017657,7665,2150,A4,1,[],[]
sample_000017845,3954,7159,A4,1,[],[]
sample_000017957,-6822,530,A4,1,[],[]
sample_000017976,9258,-5166,A4,1,[],[]
sample_000018047,-5671,-3697,A4,1,[],[]
sample_000018064,-3398,3388,A4,1,[],[]
sample_000018096,-2373,-4413,A4,1,[],[]
sample_000018361,-3268,-6721,A4,1,[],[]
sample_000018405,-7990,835,A4,1,[],[]
sample_000018433,-7200,-7425,A4,1,[],[]
sample_000018466,8008,-3218,A4,1,[],[]
sample_000018622,-8972,-4859,A4,1,[],[]
sample_000018706,1357,-4882,A4,1,[],[]
sample_000018822,-8461,8042,A4,1,[],[]
sample_000018847,-6432,7227,A4,1,[],[]
sample_000018865,8838,5824,A4,1,[],[]
sample_000019007,-5010,-5060,A4,1,[],[]
sample_000019129,-7917,4852,A4,1,[],[]
sample_000019176,6848,291,A4,1,[],[]
sample_000019288,-7252,2208,A4,1,[],[]
sample_000019356,-5977,9996,A4,1,[],[]
sample_000019478,-9429,-9184,A4,1,[],[]
sample_000019757,-6428,-9972,A4,1,[],[]
sample_000019776,5718,-5279,A4,1,[],[]
sample_000019794,-9787,-7757,A4,1,[],[]
sample_000019807,-4400,1909,A4,1,[],[]
sample_000020110,-8975,2041,A4,1,[],[]
sample_000020115,7407,2489,A4,1,[],[]
sample_000020408,4421,7098,A4,1,[],[]
sample_000020413,9757,-4646,A4,1,[],[]
sample_000020716,-7646,-6473,A4,1,[],[]
sample_000020730,-2424,2763,A4,1,[],[]
sample_000020778,9286,-482,A4,1,[],[]
sample_000020884,8460,-6591,A4,1,[],[]
sample_000021022,-340,-4991,A4,1,[],[]
sample_000021052,3358,-8274,A4,1,[],[]
sample_000021064,-5027,1052,A4,1,[],[]
sample_000021179,577,-3495,A4,1,[],[]
sample_000021248,7017,3231,A4,1,[],[]
sample_000021252,7885,7016,A4,1,[],[]
sample_000021304,1653,9238,A4,1,[],[]
sample_000021354,-3531,-3892,A4,1,[],[]
sample_000021381,9387,7839,A4,1,[],[]
sample_000021452,-5550,2256,A4,1,[],[]
sample_000021496,4864,7879,A4,1,[],[]
sample_000021583,-7444,928,A4,1,[],[]
sample_000021610,373,-1782,A4,1,[],[]
sample_000021745,9319,-3433,A4,1,[],[]
sample_000021862,-4428,8863,A4,1,[],[]
sample_000021904,4924,4922,A4,1,[],[]
sample_000021983,5712,-5596,A4,1,[],[]
sample_000022011,4588,6852,A4,1,[],[]
sample_000022068,-3876,1129,A4,1,[],[]
sample_000022074,9993,-7448,A4,1,[],[]
sample_000022139,-1957,-5748,A4,1,[],[]
sample_000022196,-4667,-1866,A4,1,[],[]
sample_000022257,-909,9830,A4,1,[],[]
sample_000022649,-8188,-4340,A4,1,[],[]
sample_000022715,-4817,-4406,A4,1,[],[]
sample_000023113,2517,6946,A4,1,[],[]
sample_000023155,-8583,-4618,A4,1,[],[]
sample_000023209,-5664,5949,A4,1,[],[]
sample_000023256,-1603,7391,A4,1,[],[]
sample_000023383,-6490,9574,A4,1,[],[]
sample_000023390,-1785,-2464,A4,1,[],[]
sample_000023459,9835,3652,A4,1,[],[]
sample_000023543,318,-6343,A4,1,[],[]
sample_000023552,-512,3703,A4,1,[],[]
sample_000023586,-5885,5773,A4,1,[],[]
sample_000023648,-3257,4692,A4,1,[],[]
sample_000023701,-292,-5448,A4,1,[],[]
sample_000023738,8349,9997,A4,1,[],[]
sample_000024084,-8205,-6830,A4,1,[],[]
sample_000024158,-4053,-806,A4,1,[],[]
sample_000024167,-1507,4691,A4,1,[],[]
sample_000024390,-6495,-8342,A4,1,[],[]
sample_000024523,-8329,3045,A4,1,[],[]
sample_000025008,-2698,-2802,A4,1,[],[]
sample_000025058,-7724,6004,A4,1,[],[]
sample_000025086,3243,8904,A4,1,[],[]
sample_000025124,7630,-8342,A4,1,[],[]
sample_000025315,-5676,6607,A4,1,[],[]
sample_000025495,1795,5453,A4,1,[],[]
sample_000025520,6312,6621,A4,1,[],[]
sample_000025539,9568,-4221,A4,1,[],[]
sample_000025817,9661,2126,A4,1,[],[]
sample_000025858,-1412,2070,A4,1,[],[]
sample_000025872,280,-4185,A4,1,[],[]
sample_000026044,2167,3800,A4,1,[],[]
sample_000026971,5098,-9439,A4,1,[],[]
sample_000027013,5142,-1613,A4,1,[],[]
sample_000027039,5886,1053,A4,1,[],[]
sample_000027347,2888,8306,A4,1,[],[]
sample_000027497,6702,-2874,A4,1,[],[]
sample_000027593,458,1317,A4,1,[],[]
sample_000027676,7491,1542,A4,1,[],[]
sample_000027683,8690,-5200,A4,1,[],[]
sample_000027771,-5899,-5806,A4,1,[],[]
sample_000027839,-5560,-2558,A4,1,[],[]
sample_000028329,1903,-7409,A4,1,[],[]
sample_000028353,-1829,368,A4,1,[],[]
sample_000028457,4153,6404,A4,1,[],[]
sample_000028468,-2275,5123,A4,1,[],[]
sample_000028647,-8035,-3108,A4,1,[],[]
sample_000028705,3169,8940,A4,1,[],[]
sample_000028737,3297,-5267,A4,1,[],[]
sample_000028831,-1046,683,A4,1,[],[]
sample_000028833,606,504,A4,1,[],[]
sample_000028975,4111,4129,A4,1,[],[]
sample_000029052,3699,-5940,A4,1,[],[]
sample_000029433,-9626,-1925,A4,1,[],[]
sample_000029445,6649,6783,A4,1,[],[]
sample_000029468,-335,4815,A4,1,[],[]
sample_000029632,3090,-3979,A4,1,[],[]
sample_000029729,-6952,-8890,A4,1,[],[]
sample_000029830,-2389,6195,A4,1,[],[]
sample_000030123,9001,-5946,A4,1,[],[]
sample_000030201,7536,9885,A4,1,[],[]
sample_000030342,6677,3140,A4,1,[],[]
sample_000030560,4129,-7105,A4,1,[],[]
sample_000030572,-103,-9646,A4,1,[],[]
sample_000030696,9975,1291,A4,1,[],[]
sample_000030699,512,7980,A4,1,[],[]
sample_000030834,-2758,9341,A4,1,[],[]
sample_000030919,5479,3395,A4,1,[],[]
sample_000031258,-335,7827,A4,1,[],[]
sample_000031294,4850,3121,A4,1,[],[]
sample_000031352,-1504,5973,A4,1,[],[]
sample_000031656,5393,8438,A4,1,[],[]
sample_000031744,-559,-8466,A4,1,[],[]
sample_000031852,-5861,3023,A4,1,[],[]
sample_000031978,-1688,1533,A4,1,[],[]
sample_000032272,-2563,-8857,A4,1,[],[]
sample_000032411,-574,1556,A4,1,[],[]
sample_000032418,-5446,-2347,A4,1,[],[]
sample_000032726,5823,-4518,A4,1,[],[]
sample_000032861,-5295,6878,A4,1,[],[]
sample_000032971,-8829,5341,A4,1,[],[]
sample_000033148,3028,1670,A4,1,[],[]
sample_000033209,-9424,1671,A4,1,[],[]
sample_000033232,-4900,-5984,A4,1,[],[]
sample_000033322,-1750,-4568,A4,1,[],[]
sample_000033581,-6734,9716,A4,1,[],[]
sample_000033660,3741,-5073,A4,1,[],[]
sample_000033864,9053,3368,A4,1,[],[]
sample_000033885,9875,9434,A4,1,[],[]
sample_000034116,-1201,3155,A4,1,[],[]
sample_000034241,4769,-9905,A4,1,[],[]
sample_000034260,9028,6153,A4,1,[],[]
sample_000034353,4491,802,A4,1,[],[]
sample_000034795,-3444,6405,A4,1,[],[]
sample_000034813,-9654,8088,A4,1,[],[]
sample_000034859,-3774,-5081,A4,1,[],[]
sample_000034863,7543,-7821,A4,1,[],[]
sample_000034930,-7474,5067,A4,1,[],[]
sample_000034949,6211,2133,A4,1,[],[]
sample_000034988,-8466,688,A4,1,[],[]
sample_000035091,-5143,6835,A4,1,[],[]
sample_000035228,-9955,-9981,A4,1,[],[]
sample_000035303,-1112,1558,A4,1,[],[]
sample_000035315,-9098,9519,A4,1,[],[]
sample_000035372,-5602,-9822,A4,1,[],[]
sample_000035472,981,6468,A4,1,[],[]
sample_000035509,9040,-210,A4,1,[],[]
sample_000035538,2566,-5003,A4,1,[],[]
sample_000035674,-9840,-6634,A4,1,[],[]
sample_000035747,2286,-490,A4,1,[],[]
sample_000035815,7039,-3724,A4,1,[],[]
sample_000035977,8821,-2103,A4,1,[],[]
sample_000036036,-3852,1248,A4,1,[],[]
sample_000036082,-3515,5096,A4,1,[],[]
sample_000036189,7067,-3460,A4,1,[],[]
sample_000036228,-2184,-8802,A4,1,[],[]
sample_000036244,-3362,2813,A4,1,[],[]
sample_000036278,8806,4695,A4,1,[],[]
sample_000036442,-4923,-6475,A4,1,[],[]
sample_000036456,-7118,-2759,A4,1,[],[]
sample_000036514,-1892,3944,A4,1,[],[]
sample_000036751,-4662,9152,A4,1,[],[]
sample_000036880,7987,9455,A4,1,[],[]
sample_000037093,-8436,221,A4,1,[],[]
sample_000037113,7264,9957,A4,1,[],[]
sample_000037134,-2653,9214,A4,1,[],[]
sample_000037384,-8629,4997,A4,1,[],[]
sample_000037589,-170,-2142,A4,1,[],[]
sample_000037701,-648,3275,A4,1,[],[]
sample_000037949,2332,1464,A4,1,[],[]
sample_000037975,6276,-3886,A4,1,[],[]
sample_000038040,-1796,-1727,A4,1,[],[]
sample_000038098,-3171,-1568,A4,1,[],[]
sample_000038406,1752,4522,A4,1,[],[]
sample_000038603,-9973,4149,A4,1,[],[]
sample_000038653,-5170,6028,A4,1,[],[]
sample_000038692,6351,-3643,A4,1,[],[]
sample_000038717,5859,-9513,A4,1,[],[]
sample_000038732,-2472,-3159,A4,1,[],[]
sample_000038907,881,-1054,A4,1,[],[]
sample_000038949,8854,-4817,A4,1,[],[]
sample_000039076,-6513,-7910,A4,1,[],[]
sample_000039409,4066,-5390,A4,1,[],[]
sample_000039624,-5454,-2695,A4,1,[],[]
sample_000039633,-7754,-9838,A4,1,[],[]
sample_000039743,5911,6716,A4,1,[],[]
sample_000039819,9884,-8293,A4,1,[],[]
sample_000039842,522,7344,A4,1,[],[]
sample_000039851,9890,515,A4,1,[],[]
sample_000039863,-6446,3182,A4,1,[],[]
sample_000039914,5914,9684,A4,1,[],[]
sample_000040041,-3121,-5885,A4,1,[],[]
sample_000040068,-7585,-9103,A4,1,[],[]
sample_000040143,6815,-7282,A4,1,[],[]
sample_000040337,-529,-3829,A4,1,[],[]
sample_000040367,5540,-2492,A4,1,[],[]
sample_000040373,-1411,2656,A4,1,[],[]
sample_000040523,-5216,4159,A4,1,[],[]
sample_000040641,-3160,5917,A4,1,[],[]
sample_000040879,-4655,3701,A4,1,[],[]
sample_000041109,9131,4314,A4,1,[],[]
sample_000041128,-4780,9734,A4,1,[],[]
sample_000041140,-3283,-8826,A4,1,[],[]
sample_000041637,-804,2279,A4,1,[],[]
sample_000041662,7365,-473,A4,1,[],[]
sample_000041886,-9546,1228,A4,1,[],[]
sample_000041946,-8526,-6184,A4,1,[],[]
sample_000041965,9719,-5509,A4,1,[],[]
sample_000041989,-3228,-8907,A4,1,[],[]
sample_000042721,9064,4167,A4,1,[],[]
sample_000043072,-264,-7882,A4,1,[],[]
sample_000043267,7387,-8797,A4,1,[],[]
sample_000043666,1428,8371,A4,1,[],[]
sample_000043743,5014,-4925,A4,1,[],[]
sample_000044021,6165,1592,A4,1,[],[]
sample_000044413,7166,8230,A4,1,[],[]
sample_000044454,4102,1033,A4,1,[],[]
sample_000044607,-201,-7638,A4,1,[],[]
sample_000044652,2178,9964,A4,1,[],[]
sample_000044680,-5968,4834,A4,1,[],[]
sample_000044754,-1609,-9324,A4,1,[],[]
sample_000044846,-8960,-2367,A4,1,[],[]
sample_000044900,-7684,6497,A4,1,[],[]
sample_000044998,5161,8675,A4,1,[],[]
sample_000045010,6590,-1044,A4,1,[],[]
sample_000045068,2116,9081,A4,1,[],[]
sample_000045110,-7406,3188,A4,1,[],[]
sample_000045178,9606,-2562,A4,1,[],[]
sample_000045219,1432,4130,A4,1,[],[]
sample_000045315,-1462,-8764,A4,1,[],[]
sample_000045413,-7834,2821,A4,1,[],[]
sample_000045540,-8443,-1704,A4,1,[],[]
sample_000045748,-9661,1023,A4,1,[],[]
sample_000045829,-4316,-2542,A4,1,[],[]
sample_000045870,-8207,9513,A4,1,[],[]
sample_000046094,-1224,-1073,A4,1,[],[]
sample_000046162,146,4145,A4,1,[],[]
sample_000046344,987,-9942,A4,1,[],[]
sample_000046494,-103,7612,A4,1,[],[]
sample_000046513,-8123,6721,A4,1,[],[]
sample_000046514,4200,-5904,A4,1,[],[]
sample_000046612,-582,-4191,A4,1,[],[]
sample_000046780,-6306,-3953,A4,1,[],[]
sample_000046798,3052,1327,A4,1,[],[]
sample_000046847,219,507,A4,1,[],[]
sample_000046978,7598,-315,A4,1,[],[]
sample_000047022,8456,8475,A4,1,[],[]
sample_000047585,-2025,-933,A4,1,[],[]
sample_000047708,-4672,79,A4,1,[],[]
sample_000047940,-2108,-5797,A4,1,[],[]
sample_000048050,1987,388,A4,1,[],[]
sample_000048078,-5528,492,A4,1,[],[]
sample_000048328,-9417,-8570,A4,1,[],[]
sample_000048399,-1316,-2887,A4,1,[],[]
sample_000048401,-2025,8309,A4,1,[],[]
sample_000048436,-923,8944,A4,1,[],[]
sample_000048484,8495,8171,A4,1,[],[]
sample_000048689,-2050,-2072,A4,1,[],[]
sample_000048803,2264,-7460,A4,1,[],[]
sample_000049036,-2711,3711,A4,1,[],[]
sample_000049225,-8802,8948,A4,1,[],[]
sample_000049492,-6839,-5147,A4,1,[],[]
sample_000049521,-5710,7467,A4,1,[],[]
sample_000049665,8747,-3306,A4,1,[],[]
sample_000049796,785,8061,A4,1,[],[]
sample_000049884,-4189,1727,A4,1,[],[]
sample_000049944,-6515,-1139,A4,1,[],[]
sample_000049976,-6146,1385,A4,1,[],[]
sample_000050121,-8954,4236,A4,1,[],[]
sample_000050492,-5495,-5908,A4,1,[],[]
sample_000050619,-835,-6490,A4,1,[],[]
sample_000050739,-2633,7561,A4,1,[],[]
sample_000050759,-3744,8067,A4,1,[],[]
sample_000050866,7021,-1696,A4,1,[],[]
sample_000051016,8810,1847,A4,1,[],[]
sample_000051410,-4090,-8319,A4,1,[],[]
sample_000051413,4470,3014,A4,1,[],[]
sample_000051459,4665,2970,A4,1,[],[]
sample_000051561,-6853,8014,A4,1,[],[]
sample_000051632,678,-3798,A4,1,[],[]
sample_000051839,-6531,-6876,A4,1,[],[]
sample_000051856,569,1914,A4,1,[],[]
sample_000051908,-3363,3215,A4,1,[],[]
sample_000052057,-3989,3533,A4,1,[],[]
sample_000052065,9404,-8136,A4,1,[],[]
sample_000052081,3813,6527,A4,1,[],[]
sample_000052102,4868,-7527,A4,1,[],[]
sample_000052490,6334,-232,A4,1,[],[]
sample_000052578,3578,2216,A4,1,[],[]
sample_000052594,-4989,-5691,A4,1,[],[]
sample_000052744,-7254,2301,A4,1,[],[]
sample_000053136,2621,607,A4,1,[],[]
sample_000053142,-7182,-7274,A4,1,[],[]
sample_000053200,-8753,-111,A4,1,[],[]
sample_000053232,-7611,-6100,A4,1,[],[]
sample_000053279,1758,2502,A4,1,[],[]
sample_000053460,4060,-5185,A4,1,[],[]
sample_000053653,2596,-2349,A4,1,[],[]
sample_000053755,6206,-5987,A4,1,[],[]
sample_000053919,4268,1280,A4,1,[],[]
sample_000054056,-1210,1811,A4,1,[],[]
sample_000054092,-8054,-8836,A4,1,[],[]
sample_000054129,-7862,-8693,A4,1,[],[]
sample_000054212,-7630,5787,A4,1,[],[]
sample_000054296,9930,4503,A4,1,[],[]
sample_000054477,-2058,7793,A4,1,[],[]
sample_000054483,-5619,-1042,A4,1,[],[]
sample_000054523,3858,9924,A4,1,[],[]
sample_000054614,-5744,2481,A4,1,[],[]
sample_000054673,-6657,8462,A4,1,[],[]
sample_000054915,-1166,5476,A4,1,[],[]
sample_000055032,-4308,6592,A4,1,[],[]
sample_000055184,-497,4449,A4,1,[],[]
sample_000055293,-8106,9091,A4,1,[],[]
sample_000055301,2179,3847,A4,1,[],[]
sample_000055318,4921,8446,A4,1,[],[]
sample_000055491,427,857,A4,1,[],[]
sample_000055521,-5910,4386,A4,1,[],[]
sample_000055570,-8627,8029,A4,1,[],[]
sample_000055954,6040,-3204,A4,1,[],[]
sample_000055964,5672,7031,A4,1,[],[]
sample_000055976,-7990,-1730,A4,1,[],[]
sample_000056384,8003,-2882,A4,1,[],[]
sample_000056411,-4294,3616,A4,1,[],[]
sample_000056603,-4893,-3829,A4,1,[],[]
sample_000056818,-8199,-1223,A4,1,[],[]
sample_000056881,-1591,279,A4,1,[],[]
sample_000056990,8457,-6552,A4,1,[],[]
sample_000057082,-7261,-6882,A4,1,[],[]
sample_000057113,7426,3195,A4,1,[],[]
sample_000057147,-3154,3113,A4,1,[],[]
sample_000057322,-1973,2838,A4,1,[],[]
sample_000057954,1549,-8123,A4,1,[],[]
sample_000058043,7669,-6694,A4,1,[],[]
sample_000058068,-2641,-3130,A4,1,[],[]
sample_000058135,8350,2322,A4,1,[],[]
sample_000058191,9901,-5463,A4,1,[],[]
sample_000058583,5160,-5661,A4,1,[],[]
sample_000058715,-9494,-2885,A4,1,[],[]
sample_000058795,3763,-9136,A4,1,[],[]
sample_000058850,-4334,2857,A4,1,[],[]
sample_000059170,8632,-6101,A4,1,[],[]
sample_000059174,-9837,-6066,A4,1,[],[]
sample_000059194,-9366,6647,A4,1,[],[]
sample_000059213,9372,5485,A4,1,[],[]
sample_000059341,559,-7054,A4,1,[],[]
sample_000059368,-6582,-6992,A4,1,[],[]
sample_000059458,7621,-120,A4,1,[],[]
sample_000059464,8015,-1222,A4,1,[],[]
sample_000059534,9406,-8101,A4,1,[],[]
sample_000059542,-6892,9017,A4,1,[],[]
sample_000059720,6841,-529,A4,1,[],[]
sample_000059893,9294,4200,A4,1,[],[]
sample_000060083,3441,-4323,A4,1,[],[]
sample_000060150,3902,8134,A4,1,[],[]
sample_000060153,6061,9858,A4,1,[],[]
sample_000060177,9321,6857,A4,1,[],[]
sample_000060188,-4592,-896,A4,1,[],[]
sample_000060318,-4833,-5652,A4,1,[],[]
sample_000060343,435,-3771,A4,1,[],[]
sample_000060425,-1285,7433,A4,1,[],[]
sample_000060491,-6298,972,A4,1,[],[]
sample_000060710,4603,5506,A4,1,[],[]
sample_000060824,-9774,-21,A4,1,[],[]
sample_000061124,-4937,8113,A4,1,[],[]
sample_000061323,-2607,-6678,A4,1,[],[]
sample_000061330,-9182,-5145,A4,1,[],[]
sample_000061371,8249,-644,A4,1,[],[]
sample_000061375,-882,-4200,A4,1,[],[]
sample_000061516,5073,-6766,A4,1,[],[]
sample_000061583,9536,-6351,A4,1,[],[]
sample_000061599,2772,2409,A4,1,[],[]
sample_000061664,-2737,-4000,A4,1,[],[]
sample_000061688,102,-5388,A4,1,[],[]
sample_000061696,-4853,369,A4,1,[],[]
sample_000061713,2429,4555,A4,1,[],[]
sample_000061931,4431,7875,A4,1,[],[]
sample_000062013,1763,3913,A4,1,[],[]
sample_000062128,3505,5454,A4,1,[],[]
sample_000062180,189,-648,A4,1,[],[]
sample_000062299,3067,-6536,A4,1,[],[]
sample_000062458,2351,-1579,A4,1,[],[]
sample_000062576,-454,-2751,A4,1,[],[]
sample_000062593,9828,-9426,A4,1,[],[]
sample_000062668,1844,7821,A4,1,[],[]
sample_000062675,1990,3296,A4,1,[],[]
sample_000062734,3094,6183,A4,1,[],[]
sample_000062954,3692,7308,A4,1,[],[]
sample_000062965,-7147,-2469,A4,1,[],[]
sample_000062975,-303,-8787,A4,1,[],[]
sample_000063155,1870,4269,A4,1,[],[]
sample_000063224,-6693,-1842,A4,1,[],[]
sample_000063372,7678,-8084,A4,1,[],[]
sample_000063417,4513,-3151,A4,1,[],[]
sample_000063528,-4835,2758,A4,1,[],[]
sample_000063564,7854,1569,A4,1,[],[]
sample_000063630,7004,-3176,A4,1,[],[]
sample_000063641,-5991,-46,A4,1,[],[]
sample_000063987,-3007,-1120,A4,1,[],[]
sample_000064098,-3445,249,A4,1,[],[]
sample_000064203,-71,9627,A4,1,[],[]
sample_000064271,-9135,6601,A4,1,[],[]
sample_000064290,-6426,-7242,A4,1,[],[]
sample_000064355,-5196,4336,A4,1,[],[]
sample_000064443,-3910,-9223,A4,1,[],[]
sample_000064467,4918,-5057,A4,1,[],[]
sample_000064632,-3452,5729,A4,1,[],[]
sample_000064656,-5331,8062,A4,1,[],[]
